Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Liverpool,29,21,7,1,69,27,+42,70,2.41,65.0,25.1,+39.8,+1.37,WDWWW,"60,300",Mohamed Salah-27,Alisson,
2,Arsenal,29,16,10,3,53,24,+29,58,2.00,44.5,24.7,+19.8,+0.68,WLDDW,"60,277",Kai Havertz-9,David Raya,
3,Nott'ham Forest,29,16,6,7,49,35,+14,54,1.86,36.5,34.0,+2.5,+0.09,LLDWW,"30,080",Chris Wood-18,Matz Sels,
4,Chelsea,29,14,7,8,53,37,+16,49,1.69,55.9,39.5,+16.4,+0.57,LLWWL,"39,610",Cole Palmer-14,Robert Sánchez,
5,Manchester City,29,14,6,9,55,40,+15,48,1.66,51.4,39.4,+12.0,+0.41,WLWLD,"52,867",Erling Haaland-21,Ederson,
6,Newcastle Utd,28,14,5,9,47,38,+9,47,1.68,46.3,35.4,+10.9,+0.39,LLWLW,"52,189",Alexander Isak-19,Nick Pope,
7,Brighton,29,12,11,6,48,42,+6,47,1.62,43.6,41.0,+2.6,+0.09,WWWWD,"32,173",João Pedro-8,Bart Verbruggen,
8,Fulham,29,12,9,8,43,38,+5,45,1.55,39.8,33.0,+6.8,+0.23,WLWLW,"26,592",Raúl Jiménez-10,Bernd Leno,
9,Aston Villa,29,12,9,8,41,45,-4,45,1.55,41.2,40.0,+1.1,+0.04,DDWLW,"41,958",Ollie Watkins-13,Emiliano Martínez,
10,Bournemouth,29,12,8,9,48,36,+12,44,1.52,52.9,38.7,+14.2,+0.49,WLLDL,"11,210",Justin Kluivert-12,Kepa Arrizabalaga,
11,Brentford,29,12,5,12,50,45,+5,41,1.41,44.7,45.2,-0.5,-0.02,WWDLW,"19,052",Bryan Mbeumo-15,Mark Flekken,
12,Crystal Palace,28,10,9,9,36,33,+3,39,1.39,44.1,35.4,+8.8,+0.31,WLWWW,"25,108",Jean-Philippe Mateta-12,Dean Henderson,
13,Manchester Utd,29,10,7,12,37,40,-3,37,1.28,38.9,44.3,-5.4,-0.19,LDWDW,"73,733",Bruno Fernandes-8,André Onana,
14,Tottenham,29,10,4,15,55,43,+12,34,1.17,47.3,48.4,-1.1,-0.04,WWLDL,"61,294","James Maddison,Brennan Johnson-9",Guglielmo Vicario,
15,Everton,29,7,13,9,32,36,-4,34,1.17,31.6,35.6,-4.0,-0.14,WDDDD,"38,213","Iliman Ndiaye,Beto-6",Jordan Pickford,
16,West Ham,29,9,7,13,33,49,-16,34,1.17,36.6,47.2,-10.5,-0.36,LWWLD,"62,463","Tomáš Souček,Jarrod Bowen-7",Alphonse Areola,
17,Wolves,29,7,5,17,40,58,-18,26,0.90,31.6,46.2,-14.6,-0.50,LWLDW,"30,570",Matheus Cunha-13,José Sá,
18,Ipswich Town,29,3,8,18,28,62,-34,17,0.59,27.1,57.4,-30.3,-1.04,DLLLL,"29,781",Liam Delap-10,Arijanet Muric,
19,Leicester City,29,4,5,20,25,65,-40,17,0.59,25.7,53.4,-27.8,-0.96,LLLLL,"31,566",Jamie Vardy-7,Mads Hermansen,
20,Southampton,29,2,3,24,21,70,-49,9,0.31,27.0,67.6,-40.6,-1.40,LLLLL,"31,087","Paul Onuachu,Joe Aribo-3",Aaron Ramsdale,
