,Total,Short,Medium,Long,,Expected,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,29.0,12714,15194,83.7,207791,66417,6480,7100,91.3,5195,5874,88.4,807,1575,51.2,40,33.9,34.7,+6.1,316,1050,324,56,1394
Aston Villa,28,29.0,11488,13873,82.8,195233,67266,5313,5901,90.0,5138,5779,88.9,802,1509,53.1,31,30.4,28.5,+0.6,267,867,248,46,1010
Bournemouth,28,29.0,9560,12561,76.1,174602,66498,4120,4772,86.3,4217,5000,84.3,1040,2167,48.0,36,36.5,29.0,-0.5,354,937,261,74,1136
Brentford,27,29.0,10486,13369,78.4,190109,72413,4646,5352,86.8,4546,5358,84.8,1086,2043,53.2,32,32.6,28.9,-0.6,255,860,256,70,1072
Brighton,30,29.0,11918,14480,82.3,203419,70066,5724,6335,90.4,4911,5619,87.4,1023,1853,55.2,30,30.8,28.9,-0.8,279,875,251,65,1162
Chelsea,29,29.0,14239,16717,85.2,244862,76844,6411,6981,91.8,6472,7146,90.6,1066,1907,55.9,40,42.9,33.9,-2.9,353,1164,255,47,1199
Crystal Palace,27,28.0,8976,11924,75.3,162318,61023,3887,4553,85.4,4043,4844,83.5,869,1935,44.9,26,33.4,25.9,-7.4,289,685,202,51,899
Everton,26,29.0,8672,11445,75.8,163776,65423,3871,4491,86.2,3468,4116,84.3,1172,2230,52.6,19,24.2,21.4,-5.2,242,776,206,68,799
Fulham,26,29.0,12645,15410,82.1,225463,75514,5585,6227,89.7,5649,6398,88.3,1174,2094,56.1,37,30.9,27.2,+6.1,309,1025,255,79,1215
Ipswich Town,32,29.0,9096,11625,78.2,160540,59862,4114,4647,88.5,4022,4699,85.6,781,1679,46.5,19,18.0,16.3,+1.0,212,691,128,40,731
Leicester City,28,29.0,10813,13572,79.7,180366,65309,5265,5894,89.3,4436,5130,86.5,823,1800,45.7,20,20.4,20.3,-0.4,198,774,172,55,861
Liverpool,24,29.0,13931,16539,84.2,236762,79695,6661,7255,91.8,5908,6666,88.6,1065,1897,56.1,51,47.2,40.9,+3.8,386,1192,340,65,1441
Manchester City,27,29.0,16220,18412,88.1,263190,74728,8366,9005,92.9,6688,7307,91.5,942,1504,62.6,40,42.2,41.0,-2.2,376,1226,333,51,1489
Manchester Utd,29,29.0,12712,15444,82.3,210004,68549,6251,6940,90.1,5160,5847,88.3,940,1843,51.0,23,29.2,25.6,-6.2,294,859,231,50,1055
Newcastle Utd,24,28.0,11269,13850,81.4,188524,67492,5566,6225,89.4,4664,5311,87.8,825,1670,49.4,35,34.5,30.6,+0.5,283,832,268,48,1127
Nott'ham Forest,23,29.0,8056,10742,75.0,136871,56236,4093,4681,87.4,2867,3576,80.2,784,1768,44.3,34,26.6,23.7,+7.4,257,688,182,42,839
Southampton,34,29.0,12410,14753,84.1,209183,67076,5877,6448,91.1,5372,5970,90.0,878,1696,51.8,12,20.3,19.6,-8.3,217,791,175,47,910
Tottenham,31,29.0,13291,15959,83.3,219129,74127,6245,6937,90.0,5847,6563,89.1,836,1559,53.6,41,36.7,30.3,+4.3,319,1021,313,68,1294
West Ham,27,29.0,10816,13544,79.9,191883,68453,5004,5672,88.2,4580,5286,86.6,1061,1996,53.2,18,25.6,24.5,-7.6,259,810,204,56,925
Wolves,28,29.0,10770,13407,80.3,185803,63724,5025,5614,89.5,4471,5097,87.7,969,1936,50.1,34,26.0,18.5,+8.0,234,794,214,53,926
