,Pass Types,Corner Kicks,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,24,29.0,11968,10761,1176,382,33,64,407,401,82,49,17,1,9582,31,193
vs Aston Villa,28,29.0,13121,11929,1117,365,52,71,497,362,127,90,19,3,10878,75,212
vs Bournemouth,28,29.0,14167,12587,1553,436,50,45,472,630,147,86,34,3,11078,27,291
vs Brentford,27,29.0,14470,13227,1198,269,45,58,628,467,189,109,41,1,11637,45,259
vs Brighton,30,29.0,13642,12286,1279,354,48,63,428,465,153,108,18,3,10975,77,256
vs Chelsea,29,29.0,12157,10878,1212,358,44,37,377,436,102,59,25,0,9704,67,227
vs Crystal Palace,27,28.0,15274,13940,1299,343,51,62,534,532,167,111,31,6,12309,35,312
vs Everton,26,29.0,16695,15298,1353,385,60,77,551,551,169,111,25,4,13822,44,229
vs Fulham,26,29.0,13869,12561,1237,333,54,72,471,472,132,94,22,3,11301,71,234
vs Ipswich Town,32,29.0,16668,15379,1255,356,67,75,539,501,185,106,29,1,13947,34,225
vs Leicester City,28,29.0,16055,14729,1280,339,52,105,589,526,184,107,35,0,13309,46,292
vs Liverpool,24,29.0,12469,11119,1280,358,46,64,389,445,117,67,17,3,9915,70,241
vs Manchester City,27,29.0,11991,10874,1052,244,51,70,346,394,102,65,17,8,9876,65,210
vs Manchester Utd,29,29.0,13898,12662,1195,348,49,58,472,459,138,92,23,0,11243,41,235
vs Newcastle Utd,24,28.0,13543,12282,1224,343,54,57,502,445,148,70,42,1,10935,37,274
vs Nott'ham Forest,23,29.0,16185,14853,1302,356,31,68,661,491,185,118,35,1,13414,30,258
vs Southampton,34,29.0,14568,13353,1179,368,60,55,521,445,175,113,26,3,12185,36,214
vs Tottenham,31,29.0,12180,10848,1266,356,48,78,525,447,162,99,35,2,9566,66,270
vs West Ham,27,29.0,15249,13905,1309,370,64,59,622,537,155,78,29,6,12431,35,268
vs Wolves,28,29.0,14651,13241,1347,407,49,56,573,492,185,115,34,0,11975,63,271
