,SCA,SCA Types,GCA,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,24,29.0,716,24.69,538,63,35,47,23,10,91,3.14,65,10,4,8,3,1
Aston Villa,28,29.0,642,22.14,447,69,39,46,29,12,73,2.52,58,4,2,5,3,1
Bournemouth,28,29.0,807,27.83,619,55,34,51,28,20,82,2.83,56,5,4,5,10,2
Brentford,27,29.0,607,20.93,453,53,29,34,28,10,86,2.97,60,8,4,6,7,1
Brighton,30,29.0,706,24.34,514,53,46,36,44,13,82,2.83,57,5,8,3,7,2
Chelsea,29,29.0,818,28.21,621,46,46,58,29,18,92,3.17,64,4,8,8,6,2
Crystal Palace,27,28.0,669,23.89,485,56,27,54,37,10,62,2.21,40,6,4,8,4,0
Everton,26,29.0,562,19.38,420,48,35,23,26,10,49,1.69,32,3,4,3,4,3
Fulham,26,29.0,724,24.97,547,60,31,53,20,13,78,2.69,61,3,4,3,4,3
Ipswich Town,32,29.0,499,17.21,340,59,38,25,27,10,42,1.45,32,2,4,2,2,0
Leicester City,28,29.0,459,15.83,340,37,35,21,23,3,44,1.52,30,3,5,3,3,0
Liverpool,24,29.0,877,30.24,678,47,64,56,18,14,122,4.21,98,3,8,7,6,0
Manchester City,27,29.0,851,29.34,680,51,52,36,25,7,93,3.21,70,3,8,8,2,2
Manchester Utd,29,29.0,676,23.31,508,59,29,40,27,13,57,1.97,35,4,4,5,5,4
Newcastle Utd,24,28.0,660,23.57,503,49,31,31,31,15,83,2.96,70,4,3,2,3,1
Nott'ham Forest,23,29.0,620,21.38,439,58,32,47,30,14,78,2.69,53,7,3,6,6,3
Southampton,34,29.0,495,17.07,348,45,38,36,21,7,33,1.14,19,3,3,7,0,1
Tottenham,31,29.0,724,24.97,533,54,49,54,26,8,90,3.10,68,5,8,6,2,1
West Ham,27,29.0,646,22.28,456,58,40,54,26,12,45,1.55,25,4,2,11,3,0
Wolves,28,29.0,555,19.14,406,38,41,27,25,18,72,2.48,61,2,5,1,0,3
