,Tackles,Challenges,Blocks,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,24,29.0,467,279,174,196,97,196,396,49.5,200,258,85,173,181,648,501,21
Aston Villa,28,29.0,488,280,226,195,67,229,415,55.2,186,263,88,175,190,678,582,38
Bournemouth,28,29.0,564,329,238,247,79,242,508,47.6,266,359,108,251,289,853,762,17
Brentford,27,29.0,479,292,219,169,91,239,444,53.8,205,372,149,223,225,704,827,19
Brighton,30,29.0,526,313,213,232,81,257,546,47.1,289,339,97,242,247,773,583,20
Chelsea,29,29.0,449,277,194,188,67,216,429,50.3,213,278,83,195,213,662,488,37
Crystal Palace,27,28.0,608,355,292,236,80,262,514,51.0,252,367,101,266,240,848,782,15
Everton,26,29.0,587,340,299,206,82,264,499,52.9,235,289,105,184,261,848,846,17
Fulham,26,29.0,518,304,243,210,65,224,437,51.3,213,283,78,205,248,766,634,20
Ipswich Town,32,29.0,470,262,226,176,68,225,491,45.8,266,321,131,190,253,723,767,32
Leicester City,28,29.0,574,329,292,215,67,254,533,47.7,279,389,144,245,254,828,758,21
Liverpool,24,29.0,506,315,219,210,77,275,528,52.1,253,281,74,207,236,742,553,19
Manchester City,27,29.0,385,234,149,166,70,171,350,48.9,179,255,69,186,173,558,472,29
Manchester Utd,29,29.0,620,371,293,239,88,294,539,54.5,245,290,90,200,301,921,585,18
Newcastle Utd,24,28.0,456,282,215,176,65,238,456,52.2,218,327,111,216,215,671,628,25
Nott'ham Forest,23,29.0,531,328,314,168,49,250,501,49.9,251,334,121,213,251,782,875,16
Southampton,34,29.0,504,294,231,214,59,214,460,46.5,246,336,147,189,236,740,697,44
Tottenham,31,29.0,532,339,220,233,79,247,479,51.6,232,342,117,225,241,773,587,32
West Ham,27,29.0,493,292,243,186,64,206,403,51.1,197,366,137,229,257,750,767,21
Wolves,28,29.0,613,357,330,229,54,281,525,53.5,244,351,120,231,240,853,722,21
