,Touches,Take-Ons,Carries,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,24,55.8,29.0,18097,1398,4614,7805,5813,955,18095,569,247,43.4,250,43.9,10550,55475,29227,632,382,210,363,301,12590,1373
Aston Villa,28,51.4,29.0,16853,1981,5643,7253,4122,730,16850,579,262,45.3,240,41.5,9547,52719,27665,554,356,159,379,297,11294,1001
Bournemouth,28,47.0,29.0,16294,1710,4919,6937,4650,805,16287,550,236,42.9,250,45.5,8776,50200,26686,564,384,190,473,287,9467,1124
Brentford,27,48.2,29.0,16723,2584,6509,6197,4164,748,16719,474,200,42.2,219,46.2,8859,48336,24587,470,285,161,387,239,10333,1058
Brighton,30,51.8,29.0,17947,2049,5875,7793,4483,798,17944,637,269,42.2,305,47.9,10334,57742,31609,619,427,195,445,276,11773,1149
Chelsea,29,58.1,29.0,19696,1821,5922,8973,4959,870,19692,606,254,41.9,262,43.2,11428,61052,32394,667,386,241,353,234,14130,1185
Crystal Palace,27,43.9,28.0,15358,1912,5658,6440,3414,587,15356,368,159,43.2,172,46.7,7623,39026,18816,371,262,96,358,265,8912,886
Everton,26,40.8,29.0,14880,1868,5350,5978,3720,557,14879,515,230,44.7,247,48.0,7242,38626,18896,369,280,97,393,308,8603,786
Fulham,26,52.7,29.0,18532,1986,6142,7752,4831,721,18528,507,230,45.4,199,39.3,11045,56735,29433,612,428,176,376,225,12523,1204
Ipswich Town,32,41.4,29.0,14875,2246,5924,5902,3204,470,14873,478,214,44.8,210,43.9,7527,42194,20414,401,265,122,423,276,9008,722
Leicester City,28,45.9,29.0,16905,2174,6083,7746,3245,503,16903,512,210,41.0,246,48.0,9566,48246,24164,472,293,106,391,255,10724,854
Liverpool,24,57.1,29.0,19713,1792,5451,8863,5571,1001,19704,508,240,47.2,228,44.9,11430,58356,31228,635,428,254,403,267,13781,1430
Manchester City,27,60.7,29.0,21185,1623,5017,8885,7452,1045,21182,616,294,47.7,230,37.3,13507,78732,42591,892,650,323,344,300,15987,1470
Manchester Utd,29,52.7,29.0,18736,1969,6644,7996,4269,709,18733,478,194,40.6,249,52.1,11435,56550,27939,492,344,172,375,273,12584,1043
Newcastle Utd,24,50.3,28.0,16899,1752,5698,7049,4317,758,16895,505,216,42.8,221,43.8,9846,52557,26137,539,335,195,355,362,11187,1120
Nott'ham Forest,23,40.0,29.0,14256,1874,4884,5637,3922,619,14253,473,214,45.2,183,38.7,6628,37907,20138,486,316,145,446,246,7985,833
Southampton,34,50.4,29.0,17916,2286,6543,7726,3799,545,17914,571,244,42.7,255,44.7,9990,53105,27354,518,371,134,353,275,12297,902
Tottenham,31,56.8,29.0,19333,1985,6221,8148,5160,840,19331,642,250,38.9,329,51.2,12119,66365,33145,671,463,209,412,328,13175,1285
West Ham,27,47.0,29.0,17010,2231,6240,7203,3737,660,17007,610,270,44.3,268,43.9,8588,44059,22345,482,305,141,378,303,10731,920
Wolves,28,47.8,29.0,16770,2048,5960,7515,3495,536,16769,534,236,44.2,221,41.4,9150,50354,26250,459,343,114,429,269,10684,920
