,Home,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,14,11,2,1,31,11,+20,35,2.50,30.5,11.3,+19.2,+1.37,15,10,5,0,38,16,+22,35,2.33,34.5,13.8,+20.7,+1.38
2,Arsenal,14,9,4,1,28,11,+17,31,2.21,23.5,8.8,+14.7,+1.05,15,7,6,2,25,13,+12,27,1.80,21.1,15.9,+5.1,+0.34
3,Nott'ham Forest,14,8,4,2,23,10,+13,28,2.00,18.5,13.5,+5.0,+0.36,15,8,2,5,26,25,+1,26,1.73,18.0,20.5,-2.5,-0.17
4,Chelsea,14,8,4,2,27,15,+12,28,2.00,29.1,15.3,+13.9,+0.99,15,6,3,6,26,22,+4,21,1.40,26.8,24.2,+2.6,+0.17
5,Manchester City,14,8,3,3,30,19,+11,27,1.93,27.9,17.4,+10.5,+0.75,15,6,3,6,25,21,+4,21,1.40,23.4,22.0,+1.4,+0.10
6,Newcastle Utd,13,7,2,4,24,17,+7,23,1.77,22.9,16.4,+6.5,+0.50,15,7,3,5,23,21,+2,24,1.60,23.4,19.1,+4.3,+0.29
7,Brighton,14,6,6,2,21,16,+5,24,1.71,21.6,16.8,+4.8,+0.34,15,6,5,4,27,26,+1,23,1.53,22.0,24.2,-2.2,-0.15
8,Fulham,15,6,5,4,22,21,+1,23,1.53,19.0,16.4,+2.6,+0.18,14,6,4,4,21,17,+4,22,1.57,20.8,16.6,+4.1,+0.30
9,Aston Villa,15,7,7,1,25,18,+7,28,1.87,26.0,14.7,+11.3,+0.75,14,5,2,7,16,27,-11,17,1.21,15.2,25.4,-10.1,-0.72
10,Bournemouth,14,6,3,5,18,12,+6,21,1.50,25.2,16.5,+8.7,+0.62,15,6,5,4,30,24,+6,23,1.53,27.7,22.2,+5.5,+0.37
11,Brentford,15,7,3,5,30,27,+3,24,1.60,26.6,23.0,+3.6,+0.24,14,5,2,7,20,18,+2,17,1.21,18.1,22.2,-4.1,-0.29
12,Crystal Palace,15,4,5,6,17,22,-5,17,1.13,25.6,18.2,+7.4,+0.50,13,6,4,3,19,11,+8,22,1.69,18.5,17.2,+1.3,+0.10
13,Manchester Utd,15,6,2,7,21,25,-4,20,1.33,22.7,23.2,-0.5,-0.03,14,4,5,5,16,15,+1,17,1.21,16.2,21.1,-5.0,-0.35
14,Tottenham,15,5,3,7,30,26,+4,18,1.20,26.5,27.0,-0.6,-0.04,14,5,1,8,25,17,+8,16,1.14,20.8,21.3,-0.5,-0.04
15,Everton,15,4,7,4,21,18,+3,19,1.27,17.7,17.0,+0.7,+0.05,14,3,6,5,11,18,-7,15,1.07,13.9,18.6,-4.7,-0.34
16,West Ham,15,5,2,8,18,28,-10,17,1.13,19.2,26.7,-7.5,-0.50,14,4,5,5,15,21,-6,17,1.21,17.4,20.5,-3.1,-0.22
17,Wolves,14,3,2,9,18,27,-9,11,0.79,15.9,21.6,-5.8,-0.41,15,4,3,8,22,31,-9,15,1.00,15.7,24.6,-8.8,-0.59
18,Ipswich Town,15,1,4,10,12,34,-22,7,0.47,14.2,25.6,-11.4,-0.76,14,2,4,8,16,28,-12,10,0.71,12.9,31.8,-18.9,-1.35
19,Leicester City,15,2,3,10,11,30,-19,9,0.60,13.9,24.8,-10.8,-0.72,14,2,2,10,14,35,-21,8,0.57,11.7,28.7,-16.9,-1.21
20,Southampton,14,1,1,12,10,39,-29,4,0.29,14.9,36.2,-21.3,-1.52,15,1,2,12,11,31,-20,5,0.33,12.0,31.4,-19.3,-1.29
