,Playing Time,Starts,Subs,Team Success,Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,24,26.5,29,"2,610",90,100,29.0,319,84,211,105,17,156,2.00,53,24,+29,+1.00,44.5,24.7,+19.8,+0.68
Aston Villa,28,27.7,29,"2,610",90,100,29.0,319,80,190,129,25,130,1.55,41,45,-4,-0.14,41.2,40.0,+1.1,+0.04
Bournemouth,28,25.8,29,"2,610",90,100,29.0,319,83,195,124,18,137,1.52,48,36,+12,+0.41,52.9,38.7,+14.2,+0.49
Brentford,27,26.6,29,"2,610",90,100,29.0,319,85,212,107,15,154,1.41,50,45,+5,+0.17,44.7,45.2,-0.5,-0.02
Brighton,30,25.6,29,"2,610",90,100,29.0,319,82,178,140,18,121,1.62,48,42,+6,+0.21,43.6,41.0,+2.6,+0.09
Chelsea,29,24.3,29,"2,610",90,100,29.0,319,83,208,110,19,151,1.69,53,37,+16,+0.55,55.9,39.5,+16.4,+0.57
Crystal Palace,27,26.9,28,"2,520",90,100,28.0,308,84,204,103,17,149,1.39,36,33,+3,+0.11,44.1,35.4,+8.8,+0.31
Everton,26,28.9,29,"2,610",90,100,29.0,319,85,227,90,19,170,1.17,32,36,-4,-0.14,31.6,35.6,-4.0,-0.14
Fulham,26,28.7,29,"2,610",90,100,29.0,319,83,185,134,16,127,1.55,43,38,+5,+0.17,39.8,33.0,+6.8,+0.23
Ipswich Town,32,26.4,29,"2,610",90,100,29.0,319,83,182,135,17,126,0.59,28,62,-34,-1.17,27.1,57.4,-30.3,-1.04
Leicester City,28,27.3,29,"2,610",90,100,29.0,319,83,195,124,18,137,0.59,25,65,-40,-1.38,25.7,53.4,-27.8,-0.96
Liverpool,24,27.9,29,"2,610",90,100,29.0,319,82,195,124,19,137,2.41,69,27,+42,+1.45,65.0,25.1,+39.8,+1.37
Manchester City,27,27.5,29,"2,610",90,100,29.0,319,85,223,96,17,161,1.66,55,40,+15,+0.52,51.4,39.4,+12.0,+0.41
Manchester Utd,29,26.4,29,"2,610",90,100,29.0,319,81,197,120,22,140,1.28,37,40,-3,-0.10,38.9,44.3,-5.4,-0.19
Newcastle Utd,24,27.8,28,"2,520",90,100,28.0,308,83,189,118,18,134,1.68,47,38,+9,+0.32,46.3,35.4,+10.9,+0.39
Nott'ham Forest,23,26.9,29,"2,610",90,100,29.0,319,83,184,133,18,127,1.86,49,35,+14,+0.48,36.5,34.0,+2.5,+0.09
Southampton,34,26.0,29,"2,610",90,100,29.0,319,80,179,139,23,122,0.31,21,70,-49,-1.69,27.0,67.6,-40.6,-1.40
Tottenham,31,25.9,29,"2,610",90,100,29.0,319,82,198,122,21,138,1.17,55,43,+12,+0.41,47.3,48.4,-1.1,-0.04
West Ham,27,28.9,29,"2,610",90,100,29.0,319,81,184,132,22,129,1.17,33,49,-16,-0.55,36.6,47.2,-10.5,-0.36
Wolves,28,27.6,29,"2,610",90,100,29.0,319,83,193,125,18,135,0.90,40,58,-18,-0.62,31.6,46.2,-14.6,-0.50
