,Performance,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,24,29.0,60,5,2,334,308,64,606,181,279,2,2,0,1104,381,361,51.3
Aston Villa,28,29.0,58,2,1,332,381,48,472,190,280,3,2,0,1103,296,319,48.1
Bournemouth,28,29.0,74,1,0,399,296,57,624,289,329,7,4,0,1452,429,490,46.7
Brentford,27,29.0,40,1,0,227,258,57,523,225,292,4,1,3,1260,500,436,53.4
Brighton,30,29.0,62,1,1,338,328,33,504,247,313,3,7,2,1263,400,368,52.1
Chelsea,29,29.0,81,1,1,342,344,47,477,213,277,4,6,0,1191,308,296,51.0
Crystal Palace,27,28.0,58,1,0,303,306,53,455,240,355,2,2,2,1295,406,502,44.7
Everton,26,29.0,61,2,1,335,287,66,516,261,340,0,2,0,1200,462,434,51.6
Fulham,26,29.0,61,2,0,326,288,33,675,248,304,3,2,2,1232,395,407,49.3
Ipswich Town,32,29.0,75,3,3,334,299,42,395,253,262,2,5,1,1137,403,403,50.0
Leicester City,28,29.0,64,0,0,311,295,48,499,254,329,2,2,3,1158,399,442,47.4
Liverpool,24,29.0,56,2,1,337,271,42,534,236,315,6,1,0,1240,313,255,55.1
Manchester City,27,29.0,50,1,1,215,287,35,505,173,234,3,3,2,1101,231,244,48.6
Manchester Utd,29,29.0,64,3,1,309,281,55,446,301,371,3,4,1,1317,362,372,49.3
Newcastle Utd,24,28.0,52,1,0,296,345,57,495,215,282,3,0,1,1238,336,335,50.1
Nott'ham Forest,23,29.0,64,2,2,307,319,67,451,251,328,3,2,0,1197,427,421,50.4
Southampton,34,29.0,75,3,0,352,336,39,436,236,294,2,6,0,1122,361,306,54.1
Tottenham,31,29.0,54,1,1,327,378,44,593,241,339,2,2,2,1325,325,338,49.0
West Ham,27,29.0,63,3,2,333,302,55,473,257,292,2,3,3,1212,459,437,51.2
Wolves,28,29.0,63,2,2,377,320,53,425,240,357,0,7,3,1262,338,365,48.1
