,Playing Time,Performance,Expected,Progression,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,24,26.8,44.2,29,319,"2,610",29.0,24,17,41,22,2,2,68,1,24.7,23.2,17.1,40.3,491,738,0.83,0.59,1.41,0.76,1.34,0.85,0.59,1.44,0.80,1.39
vs Aston Villa,28,27.1,48.6,29,319,"2,610",29.0,45,32,77,44,1,2,78,2,40.0,38.5,29.2,67.7,501,965,1.55,1.10,2.66,1.52,2.62,1.38,1.01,2.39,1.33,2.33
vs Bournemouth,28,27.0,53.0,29,319,"2,610",29.0,36,26,62,32,4,4,73,2,38.7,35.6,28.6,64.2,533,1014,1.24,0.90,2.14,1.10,2.00,1.34,0.99,2.32,1.23,2.21
vs Brentford,27,27.3,51.8,29,319,"2,610",29.0,42,32,74,41,1,1,61,2,45.2,44.4,34.7,79.2,656,1237,1.45,1.10,2.55,1.41,2.52,1.56,1.20,2.76,1.53,2.73
vs Brighton,30,26.8,48.2,29,319,"2,610",29.0,40,25,65,33,7,7,72,3,41.0,35.6,30.9,66.4,459,939,1.38,0.86,2.24,1.14,2.00,1.42,1.06,2.48,1.23,2.29
vs Chelsea,29,27.2,41.9,29,319,"2,610",29.0,37,27,64,32,5,6,75,2,39.5,34.7,29.0,63.7,458,884,1.28,0.93,2.21,1.10,2.03,1.36,1.00,2.36,1.20,2.20
vs Crystal Palace,27,26.9,56.1,28,308,"2,520",28.0,31,24,55,30,1,2,57,2,35.4,33.8,27.3,61.1,497,1126,1.11,0.86,1.96,1.07,1.93,1.26,0.98,2.24,1.21,2.18
vs Everton,26,27.0,59.2,29,319,"2,610",29.0,36,28,64,36,0,2,36,2,35.6,34.0,27.0,60.9,539,1237,1.24,0.97,2.21,1.24,2.21,1.23,0.93,2.16,1.17,2.10
vs Fulham,26,27.1,47.3,29,319,"2,610",29.0,36,29,65,34,2,2,55,3,33.0,31.5,24.7,56.2,461,1038,1.24,1.00,2.24,1.17,2.17,1.14,0.85,1.99,1.08,1.94
vs Ipswich Town,32,27.0,58.6,29,319,"2,610",29.0,61,39,100,56,5,5,49,2,57.4,53.5,41.8,95.3,610,1231,2.10,1.34,3.45,1.93,3.28,1.98,1.44,3.42,1.84,3.29
vs Leicester City,28,27.0,54.1,29,319,"2,610",29.0,62,48,110,61,1,2,46,2,53.4,51.8,40.6,92.5,550,1370,2.14,1.66,3.79,2.10,3.76,1.84,1.40,3.24,1.79,3.19
vs Liverpool,24,26.8,42.9,29,319,"2,610",29.0,27,21,48,27,0,1,69,1,25.1,24.2,19.1,43.3,510,877,0.93,0.72,1.66,0.93,1.66,0.87,0.66,1.53,0.83,1.49
vs Manchester City,27,26.9,39.3,29,319,"2,610",29.0,38,30,68,35,3,3,66,1,39.4,37.0,31.8,68.9,446,713,1.31,1.03,2.34,1.21,2.24,1.36,1.10,2.46,1.28,2.37
vs Manchester Utd,29,27.1,47.3,29,319,"2,610",29.0,39,26,65,36,3,4,57,1,44.3,41.2,31.1,72.3,526,945,1.34,0.90,2.24,1.24,2.14,1.53,1.07,2.60,1.42,2.49
vs Newcastle Utd,24,27.1,49.7,28,308,"2,520",28.0,37,34,71,37,0,0,73,1,35.4,35.4,28.5,63.9,520,1012,1.32,1.21,2.54,1.32,2.54,1.26,1.02,2.28,1.26,2.28
vs Nott'ham Forest,23,27.0,60.0,29,319,"2,610",29.0,35,27,62,33,2,2,76,2,34.0,32.4,24.1,56.5,769,1521,1.21,0.93,2.14,1.14,2.07,1.17,0.83,2.00,1.12,1.95
vs Southampton,34,26.7,49.6,29,319,"2,610",29.0,70,49,119,64,6,6,46,1,67.6,63.1,50.2,113.3,612,1173,2.41,1.69,4.10,2.21,3.90,2.33,1.73,4.06,2.18,3.91
vs Tottenham,31,27.0,43.2,29,319,"2,610",29.0,41,29,70,39,2,2,67,3,48.4,46.8,35.3,82.0,503,975,1.41,1.00,2.41,1.34,2.34,1.67,1.22,2.88,1.61,2.83
vs West Ham,27,27.0,53.0,29,319,"2,610",29.0,46,36,82,43,3,3,42,1,47.2,44.9,38.1,82.9,656,1300,1.59,1.24,2.83,1.48,2.72,1.63,1.31,2.94,1.55,2.86
vs Wolves,28,27.0,52.2,29,319,"2,610",29.0,55,39,94,49,6,7,69,3,46.2,40.7,33.1,73.9,608,1189,1.90,1.34,3.24,1.69,3.03,1.59,1.14,2.74,1.40,2.55
