,Playing Time,Performance,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,1,29,29,"2,610",29.0,53,1.83,137,86,62.8,3,10,16,5,17.2,2,2,0,0,0.0
vs Aston Villa,2,29,29,"2,610",29.0,41,1.41,116,75,66.4,8,9,12,6,20.7,3,2,1,0,33.3
vs Bournemouth,3,29,29,"2,610",29.0,48,1.66,166,118,74.7,9,8,12,6,20.7,7,6,1,0,14.3
vs Brentford,2,29,29,"2,610",29.0,50,1.72,138,88,66.7,12,5,12,7,24.1,4,4,0,0,0.0
vs Brighton,2,29,29,"2,610",29.0,48,1.66,138,92,67.4,6,11,12,4,13.8,3,3,0,0,0.0
vs Chelsea,2,29,29,"2,610",29.0,53,1.83,161,108,68.9,8,7,14,5,17.2,4,3,1,0,25.0
vs Crystal Palace,1,28,28,"2,520",28.0,36,1.29,136,102,75.0,9,9,10,6,21.4,2,2,0,0,0.0
vs Everton,1,29,29,"2,610",29.0,32,1.10,109,80,71.6,9,13,7,12,41.4,1,1,0,0,0.0
vs Fulham,1,29,29,"2,610",29.0,43,1.48,130,87,69.2,8,9,12,4,13.8,4,3,1,0,25.0
vs Ipswich Town,3,29,29,"2,610",29.0,28,0.97,99,72,73.7,18,8,3,10,34.5,2,2,0,0,0.0
vs Leicester City,3,29,29,"2,610",29.0,25,0.86,85,60,72.9,20,5,4,12,41.4,2,2,0,0,0.0
vs Liverpool,3,29,29,"2,610",29.0,69,2.38,180,111,66.7,1,7,21,1,3.4,9,9,0,0,0.0
vs Manchester City,2,29,29,"2,610",29.0,55,1.90,166,111,68.1,9,6,14,4,13.8,3,2,1,0,33.3
vs Manchester Utd,1,29,29,"2,610",29.0,37,1.28,131,96,74.0,12,7,10,10,34.5,3,3,0,0,0.0
vs Newcastle Utd,2,28,28,"2,520",28.0,47,1.68,118,71,62.7,9,5,14,5,17.9,4,3,1,0,25.0
vs Nott'ham Forest,1,29,29,"2,610",29.0,49,1.69,132,84,65.2,7,6,16,5,17.2,3,3,0,0,0.0
vs Southampton,3,29,29,"2,610",29.0,21,0.72,87,65,75.9,24,3,2,12,41.4,2,0,2,0,100.0
vs Tottenham,4,29,29,"2,610",29.0,55,1.90,153,100,64.7,15,4,10,6,20.7,2,1,1,0,50.0
vs West Ham,2,29,29,"2,610",29.0,33,1.14,107,76,72.0,13,7,9,7,24.1,3,3,0,0,0.0
vs Wolves,2,29,29,"2,610",29.0,40,1.38,123,83,67.5,17,5,7,5,17.2,0,0,0,0,
