,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,29.0,53,2,0,9,2,47.8,0.35,-3.2,-0.11,154,506,30.4,868,90,45.3,37.8,230,49.1,37.1,479,29,6.1,21,0.72,10.2
vs Aston Villa,2,29.0,41,2,0,7,1,41.9,0.35,+1.9,+0.07,112,298,37.6,681,114,32.2,33.0,193,40.9,33.3,359,27,7.5,35,1.21,13.3
vs Bournemouth,3,29.0,48,6,1,3,1,54.1,0.30,+7.1,+0.25,195,505,38.6,948,111,40.8,36.4,263,44.9,35.7,478,36,7.5,42,1.45,14.0
vs Brentford,2,29.0,50,4,0,3,0,51.1,0.36,+1.1,+0.04,148,450,32.9,897,131,40.7,35.8,194,43.8,35.3,411,31,7.5,51,1.76,15.8
vs Brighton,2,29.0,48,3,2,3,2,48.1,0.34,+2.1,+0.07,162,477,34.0,1059,146,35.4,33.0,230,44.3,36.3,396,22,5.6,43,1.48,15.3
vs Chelsea,2,29.0,53,3,2,5,1,54.9,0.32,+2.9,+0.10,133,455,29.2,899,132,38.4,34.8,234,47.0,37.6,364,25,6.9,37,1.28,14.3
vs Crystal Palace,1,28.0,36,2,0,8,2,40.2,0.29,+6.2,+0.22,143,362,39.5,921,144,29.6,30.8,193,46.1,37.7,367,29,7.9,36,1.29,13.8
vs Everton,1,29.0,32,1,1,3,3,29.5,0.26,+0.5,+0.02,81,239,33.9,838,146,21.2,28.6,187,32.6,30.3,398,27,6.8,22,0.76,12.4
vs Fulham,1,29.0,43,3,0,2,1,43.3,0.31,+1.3,+0.04,98,348,28.2,724,119,36.0,34.6,228,38.2,33.6,492,24,4.9,36,1.24,14.7
vs Ipswich Town,3,29.0,28,2,0,4,1,29.8,0.29,+2.8,+0.10,80,334,24.0,905,85,28.4,31.4,156,49.4,39.1,305,29,9.5,31,1.07,13.9
vs Leicester City,3,29.0,25,2,0,3,0,26.5,0.30,+1.5,+0.05,106,275,38.5,779,114,27.0,30.9,177,36.7,32.7,379,30,7.9,34,1.17,14.0
vs Liverpool,3,29.0,69,9,0,4,0,65.2,0.32,-3.8,-0.13,142,395,35.9,804,128,35.2,33.4,262,42.7,35.0,442,26,5.9,38,1.31,13.3
vs Manchester City,2,29.0,55,2,0,6,1,52.7,0.31,-1.3,-0.05,133,403,33.0,900,115,35.0,33.3,228,38.6,34.0,363,27,7.4,22,0.76,12.5
vs Manchester Utd,1,29.0,37,3,2,6,2,34.2,0.25,-0.8,-0.03,100,354,28.2,863,113,32.2,32.3,184,41.3,35.0,365,26,7.1,51,1.76,15.3
vs Newcastle Utd,2,28.0,47,3,0,3,1,45.4,0.36,-0.6,-0.02,177,495,35.8,830,127,46.4,37.5,213,51.6,40.1,389,29,7.5,36,1.29,13.7
vs Nott'ham Forest,1,29.0,49,3,0,8,1,43.3,0.31,-4.7,-0.16,61,211,28.9,765,143,23.4,28.7,192,16.7,22.1,356,21,5.9,43,1.48,14.6
vs Southampton,3,29.0,21,0,0,1,1,23.1,0.25,+3.1,+0.11,92,304,30.3,777,94,32.6,33.1,141,36.2,31.8,348,28,8.0,29,1.00,14.4
vs Tottenham,4,29.0,55,1,1,7,3,46.5,0.30,-5.5,-0.19,185,498,37.1,769,128,47.9,38.6,218,59.6,44.3,450,30,6.7,23,0.79,11.9
vs West Ham,2,29.0,33,3,1,4,2,32.0,0.28,+1.0,+0.03,129,380,33.9,876,118,35.3,33.4,185,38.4,33.1,352,32,9.1,29,1.00,13.9
vs Wolves,2,29.0,40,0,0,3,0,33.7,0.27,-6.3,-0.22,109,329,33.1,832,130,31.6,32.9,194,34.0,31.0,321,19,5.9,43,1.48,15.5
