,Standard,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,24,29.0,51,400,135,33.8,13.79,4.66,0.12,0.36,15.1,6,2,2,44.5,43.0,0.11,+6.5,+6.0
Aston Villa,28,29.0,40,361,113,31.3,12.45,3.90,0.11,0.34,16.0,10,2,3,41.2,38.8,0.11,-1.2,-0.8
Bournemouth,28,29.0,47,457,159,34.8,15.76,5.48,0.09,0.26,16.6,8,6,7,52.9,47.4,0.11,-5.9,-6.4
Brentford,27,29.0,50,334,134,40.1,11.52,4.62,0.14,0.34,15.4,9,4,4,44.7,41.6,0.13,+5.3,+4.4
Brighton,30,29.0,46,399,135,33.8,13.76,4.66,0.11,0.32,17.2,20,3,3,43.6,41.3,0.11,+2.4,+1.7
Chelsea,29,29.0,52,458,157,34.3,15.79,5.41,0.11,0.31,16.5,15,3,4,55.9,52.7,0.12,-3.9,-3.7
Crystal Palace,27,28.0,34,393,134,34.1,14.04,4.79,0.08,0.24,17.1,14,2,2,44.1,42.6,0.11,-10.1,-10.6
Everton,26,29.0,29,322,108,33.5,11.10,3.72,0.09,0.26,17.1,10,1,1,31.6,30.8,0.10,-2.6,-2.8
Fulham,26,29.0,42,393,126,32.1,13.55,4.34,0.10,0.31,16.4,7,3,4,39.8,36.6,0.10,+2.2,+2.4
Ipswich Town,32,29.0,27,280,97,34.6,9.66,3.34,0.09,0.26,17.5,10,2,2,27.1,25.6,0.09,-0.1,-0.6
Leicester City,28,29.0,25,260,83,31.9,8.97,2.86,0.09,0.28,17.7,6,2,2,25.7,24.2,0.09,-0.7,-1.2
Liverpool,24,29.0,69,483,171,35.4,16.66,5.90,0.12,0.35,16.0,5,9,9,65.0,58.0,0.12,+4.0,+2.0
Manchester City,27,29.0,54,463,163,35.2,15.97,5.62,0.11,0.32,16.9,13,2,3,51.4,49.0,0.11,+2.6,+3.0
Manchester Utd,29,29.0,35,379,128,33.8,13.07,4.41,0.08,0.25,17.2,10,3,3,38.9,36.5,0.10,-3.9,-4.5
Newcastle Utd,24,28.0,46,363,114,31.4,12.96,4.07,0.12,0.38,15.7,9,3,4,46.3,43.1,0.12,-0.3,-0.1
Nott'ham Forest,23,29.0,48,358,129,36.0,12.34,4.45,0.13,0.35,17.5,12,3,3,36.5,34.2,0.10,+11.5,+10.8
Southampton,34,29.0,20,269,85,31.6,9.28,2.93,0.07,0.24,16.2,5,0,2,27.0,25.2,0.10,-7.0,-5.2
Tottenham,31,29.0,52,411,151,36.7,14.17,5.21,0.12,0.34,16.0,8,1,2,47.3,45.7,0.11,+4.7,+5.3
West Ham,27,29.0,31,373,104,27.9,12.86,3.59,0.08,0.27,16.5,10,3,3,36.6,34.3,0.10,-5.6,-6.3
Wolves,28,29.0,40,317,123,38.8,10.93,4.24,0.13,0.33,18.4,14,0,0,31.6,31.6,0.10,+8.4,+8.4
